Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685008800000,1787.36000000,1789.61000000,1784.54000000,1786.23000000,5818.37770000,1685012399999,10394013.60193800,12348,3300.42170000,5895857.95187900,0
1685012400000,1786.23000000,1792.55000000,1782.43000000,1789.65000000,8710.29910000,1685015999999,15563806.33969100,15546,4269.79960000,7630679.64758700,0
1685016000000,1789.66000000,1812.76000000,1789.65000000,1801.80000000,37873.53160000,1685019599999,68287385.80102000,41941,19783.98140000,35663864.73319300,0
1685019600000,1801.81000000,1805.99000000,1794.59000000,1799.55000000,16004.81300000,1685023199999,28811037.51966300,24055,8250.96490000,14852458.27484900,0
1685023200000,1799.56000000,1803.66000000,1794.05000000,1799.31000000,14738.74920000,1685026799999,26513741.71993200,21087,7671.77360000,13799998.86200400,0
1685026800000,1799.30000000,1801.33000000,1786.71000000,1791.56000000,16103.60640000,1685030399999,28878168.57652800,23021,7507.58270000,13462779.05182700,0
1685030400000,1791.56000000,1799.41000000,1791.36000000,1797.11000000,16706.51600000,1685033999999,30011554.98666800,17776,7057.74870000,12675672.08945500,0
1685034000000,1797.11000000,1806.77000000,1795.83000000,1804.80000000,12616.64310000,1685037599999,22736330.17966600,17787,5462.98970000,9842584.12801100,0
1685037600000,1804.80000000,1809.84000000,1803.37000000,1805.70000000,15904.81030000,1685041199999,28725289.58484900,18405,6918.34600000,12493910.87648300,0
1685041200000,1805.70000000,1818.81000000,1804.65000000,1808.82000000,22697.23250000,1685044799999,41137953.57933500,27554,11339.99200000,20551317.25227400,0
1685044800000,1808.82000000,1813.76000000,1808.82000000,1809.99000000,10236.59180000,1685048399999,18541840.63544100,13805,4467.26670000,8090950.72089500,0
1685048400000,1809.98000000,1809.99000000,1805.74000000,1807.61000000,5200.67910000,1685051999999,9399775.72046200,9268,2194.38840000,3966180.21811200,0
1685052000000,1807.60000000,1809.45000000,1806.07000000,1807.28000000,4848.67510000,1685055599999,8765503.06720800,7873,2246.82480000,4061487.95256400,0
1685055600000,1807.28000000,1812.13000000,1805.39000000,1805.60000000,5784.50560000,1685059199999,10459502.14095700,9596,3010.10160000,5443064.97926200,0
1685059200000,1805.61000000,1808.75000000,1802.24000000,1805.28000000,9789.47010000,1685062799999,17676341.62902300,12224,4631.43180000,8363169.02162900,0
1685062800000,1805.29000000,1808.98000000,1796.99000000,1801.97000000,13130.06670000,1685066399999,23667636.62582300,18746,6591.68280000,11880416.39118100,0
1685066400000,1801.98000000,1804.36000000,1800.68000000,1801.89000000,3987.91850000,1685069999999,7189381.38883000,8658,1983.86680000,3576431.17630200,0
1685070000000,1801.89000000,1808.52000000,1801.40000000,1807.41000000,7946.82940000,1685073599999,14342620.78824300,10670,4653.98460000,8397962.69110900,0
1685073600000,1807.41000000,1809.58000000,1805.28000000,1808.16000000,12227.14740000,1685077199999,22099327.49626200,12805,5895.56030000,10656093.54786400,0
1685077200000,1808.15000000,1808.77000000,1802.79000000,1803.06000000,6436.69680000,1685080799999,11620012.90426800,10549,2566.04850000,4632533.08149800,0
1685080800000,1803.05000000,1812.76000000,1802.00000000,1811.62000000,9803.96710000,1685084399999,17719242.81219700,13994,5788.69910000,10463081.63279500,0
1685084400000,1811.62000000,1817.72000000,1809.52000000,1816.71000000,11104.13240000,1685087999999,20132068.05739800,16839,6045.20970000,10959358.12059100,0
1685088000000,1816.70000000,1818.52000000,1813.03000000,1814.36000000,12478.10890000,1685091599999,22657661.57593300,16595,6384.77970000,11592981.07399600,0
1685091600000,1814.36000000,1814.52000000,1811.69000000,1813.37000000,6423.18860000,1685095199999,11645107.68694100,12017,3048.06560000,5526287.15846700,0
1685095200000,1813.38000000,1814.60000000,1811.11000000,1813.51000000,4577.49670000,1685098799999,8298171.28786500,11511,2050.12770000,3716462.96135100,0
1685098800000,1813.51000000,1815.99000000,1811.27000000,1812.26000000,10920.86620000,1685102399999,19804997.03769400,15729,6620.34340000,12006230.69584000,0
1685102400000,1812.26000000,1823.81000000,1809.03000000,1814.73000000,21895.92020000,1685105999999,39741726.89059200,27732,12453.21100000,22604696.38097500,0
1685106000000,1814.73000000,1829.00000000,1814.72000000,1823.20000000,29486.30770000,1685109599999,53746216.93571600,30712,15851.28300000,28883884.95808900,0
1685109600000,1823.20000000,1838.20000000,1820.20000000,1829.83000000,35627.44990000,1685113199999,65213718.39767000,37907,17136.13500000,31366699.45687700,0
1685113200000,1829.83000000,1837.34000000,1829.61000000,1830.84000000,16690.79080000,1685116799999,30600638.26483600,19896,9388.92740000,17214005.79182800,0
1685116800000,1830.83000000,1832.29000000,1828.20000000,1828.20000000,10786.22930000,1685120399999,19743619.86776000,14739,5207.50080000,9532255.38175900,0
1685120400000,1828.20000000,1830.51000000,1822.50000000,1824.34000000,9969.17280000,1685123999999,18210908.93062600,14460,4657.16840000,8508042.42137800,0
1685124000000,1824.34000000,1834.52000000,1822.49000000,1831.73000000,14038.46540000,1685127599999,25662354.59268500,17699,6349.20690000,11609019.30846200,0
1685127600000,1831.73000000,1837.00000000,1831.44000000,1835.55000000,10513.32770000,1685131199999,19283371.94758900,15288,5323.73000000,9764297.17600300,0
1685131200000,1835.56000000,1837.79000000,1833.12000000,1834.66000000,5602.70880000,1685134799999,10283276.42546300,10182,2776.26260000,5095650.60680100,0
1685134800000,1834.66000000,1836.04000000,1831.21000000,1831.25000000,4659.15380000,1685138399999,8541383.15716000,10522,2087.65570000,3826988.06785200,0
1685138400000,1831.26000000,1832.12000000,1826.18000000,1826.29000000,4396.78490000,1685141999999,8046143.37511900,8909,1710.05430000,3129136.50255000,0
1685142000000,1826.30000000,1829.53000000,1826.29000000,1827.79000000,3198.48530000,1685145599999,5848045.80424400,7471,1432.17240000,2618158.98887400,0
1685145600000,1827.80000000,1828.23000000,1825.01000000,1826.49000000,4377.24490000,1685149199999,7995595.48081900,9703,2027.16050000,3702897.62572300,0
1685149200000,1826.49000000,1829.98000000,1826.47000000,1829.97000000,4397.17020000,1685152799999,8037636.45643900,8051,1672.20890000,3056878.27760800,0
1685152800000,1829.97000000,1834.19000000,1826.71000000,1833.30000000,6499.71780000,1685156399999,11893216.93564700,10173,3033.91820000,5551922.96688100,0
1685156400000,1833.30000000,1836.12000000,1831.60000000,1834.25000000,13367.16830000,1685159999999,24508680.12278000,12670,6819.92070000,12505054.48146100,0
1685160000000,1834.24000000,1835.45000000,1830.83000000,1834.32000000,8544.31270000,1685163599999,15662924.55778900,11361,3911.99310000,7171263.22652500,0
1685163600000,1834.31000000,1834.66000000,1829.27000000,1831.59000000,3605.19120000,1685167199999,6605036.99627800,9716,1615.10720000,2958985.10348700,0
1685167200000,1831.60000000,1833.83000000,1830.40000000,1832.68000000,3522.08530000,1685170799999,6451727.60288400,8365,1689.02500000,3093856.37910200,0
1685170800000,1832.68000000,1833.45000000,1828.20000000,1829.76000000,5306.66220000,1685174399999,9715343.20736600,15340,2474.21930000,4529977.72604300,0
1685174400000,1829.77000000,1830.04000000,1825.98000000,1828.19000000,7831.48050000,1685177999999,14316275.10347900,11477,4018.21680000,7345576.60255900,0
1685178000000,1828.19000000,1830.18000000,1826.56000000,1826.75000000,6085.80560000,1685181599999,11128352.19664000,11212,2884.29150000,5273921.60105900,0
1685181600000,1826.75000000,1828.00000000,1824.60000000,1826.54000000,5894.64380000,1685185199999,10765550.47894600,12001,2733.88090000,4993013.93719500,0
1685185200000,1826.54000000,1828.36000000,1822.45000000,1826.83000000,5291.38050000,1685188799999,9661374.13176100,11330,2663.39400000,4863230.28998300,0
1685188800000,1826.83000000,1830.40000000,1824.76000000,1828.18000000,4491.42130000,1685192399999,8208085.63262900,11403,2155.17460000,3938629.63526500,0
